No.,シリーズ,舞台,シリーズアイコン,ハード
1,赤・緑,カントー地方,RGBP.png,GB
1b,青,カントー地方,RGBP.png,
1p,ピカチュウ,カントー地方,RGBP.png,
2,金・銀,ジョウト地方,GSC.png,
2b,クリスタル,ジョウト地方,GSC.png,
3,ルビー・サファイア,ホウエン地方,RSE.png,アドバンス
1c,ファイアレッド・リーフグリーン,カントー地方,FRLG.png,
3b,エメラルド,ホウエン地方,RSE.png,
4,ダイヤモンド・パール,シンオウ地方,DPPt.png,DS
4b,プラチナ,シンオウ地方,DPPt.png,
2c,ハートゴールド・ソウルシルバー,ジョウト地方,HGSS.png,
5,ブラック・ホワイト,イッシュ地方,BW.png,
5b,ブラック2・ホワイト2,イッシュ地方,BW2.png,
6,X・Y,カロス地方,XY.png,3DS
3c,オメガルビー・アルファサファイア,ホウエン地方,ORAS.png,
7,サン・ムーン,アローラ地方,SM.png,
7b,ウルトラサン・ウルトラムーン,アローラ地方,USUM.png,
pv,Let's go!ピカチュウ・Let's go!イーブイ,カントー地方,LPLE.png,switch
8,ソード・シールド,ガラル地方,SWSE.png,
4c,ブリリアントダイヤモンド・シャイニングパール,シンオウ地方,BDSP.png,
8b,Pokémon LEGENDS アルセウス,ヒスイ地方,LA.png,
9,スカーレット・バイオレット,パルデア地方,SV.png,
9b,Pokémon LEGENDS Z-A,カロス地方,ZA.png,
10,ウインド・ウェーブ,,,switch2
a1,アニメ ポケットモンスター （初代）,,,
a2,アニメ ポケットモンスター アドバンスジェネレーション,,,
a3,アニメ ポケットモンスター ダイヤモンド&パール,,,
a4,アニメ ポケットモンスター ベストウイッシュ,,,
a5,アニメ ポケットモンスター XY,,,
a6,アニメ ポケットモンスター サン&ムーン,,,
a7,アニメ ポケットモンスター （サトシとゴウ）,,,
a8,アニメ ポケットモンスター （リコとロイ）,,,
m1,映画 ミュウツーの逆襲,,,
m2,映画 幻のポケモン ルギア爆誕,,,
m3,映画 結晶塔の帝王 ENTEI,,,
m4,映画 セレビィ 時を超えた遭遇,,,
m5,映画 水の都の護神 ラティアスとラティオス,,,
m6,映画 七夜の願い星 ジラーチ,,,
m7,映画 裂空の訪問者 デオキシス,,,
m8,映画 ミュウと波導の勇者 ルカリオ,,,
m9,映画 ポケモンレンジャーと蒼海の王子 マナフィ,,,
m10,映画 ディアルガVSパルキアVSダークライ,,,
m11,映画 ギラティナと氷空の花束 シェイミ,,,
m12,映画 アルセウス 超克の時空へ,,,
m13,映画 幻影の覇者 ゾロアーク,,,
m14,映画 ビクティニと黒き英雄 ゼクロム/白き英雄 レシラム,,,
m15,映画 キュレムVS聖剣士 ケルディオ,,,
m16,映画 神速のゲノセクト ミュウツー覚醒,,,
m17,映画 破壊の繭とディアンシー,,,
m18,映画 光輪の超魔神 フーパ,,,
m19,映画 ボルケニオンと機巧のマギアナ,,,
m20,映画 キミにきめた!,,,
m21,映画 みんなの物語,,,
m22,映画 ミュウツーの逆襲 EVOLUTION,,,
m23,映画 ココ,,,
